flow_rate_L_min,concentration_mol_L,inlet_temperature_K,length_m,jacket_temperature_K,overall_yield,delta_T,avg_temp,residence_time,heat_exposure,is_high_temp,temp_residence_interaction
33.09,3.68,357.75,19.87,383.79,63.024,26.04000000000002,370.77,0.6004835297673012,222.64127833182226,0,35.566639468117266
76.3,1.34,429.7,14.84,405.72,86.611,-23.97999999999996,417.71000000000004,0.1944954128440367,81.24267889908258,0,2.390348623853204
59.9,1.01,431.1,11.76,385.4,86.347,-45.700000000000045,408.25,0.1963272120200334,80.15058430717863,0,4.270116861435726
49.9,2.21,445.61,22.85,367.74,92.175,-77.87,406.675,0.4579158316633267,186.2229208416834,0,10.68088677354709
16.7,3.95,458.91,4.56,374.13,82.211,-84.78000000000003,416.52,0.27305389221556886,113.73240718562873,0,3.6807664670658733
16.7,1.35,496.38,13.33,442.16,0.0,-54.21999999999997,469.27,0.7982035928143713,374.573,1,-31.345455089820344
9.36,2.85,427.45,2.26,391.27,78.627,-36.18000000000001,409.36,0.24145299145299146,98.84119658119658,0,4.98358974358974
69.96,3.17,398.44,12.78,422.85,61.95,24.410000000000025,410.645,0.18267581475128647,75.01490994854203,0,3.535690394511153
50.08,1.33,469.28,3.29,450.68,2.807,-18.599999999999966,459.98,0.06569488817891374,30.21833466453674,1,-1.9695327476038351
58.11,3.05,390.62,4.73,488.08,34.451,97.45999999999998,439.35,0.0813973498537257,35.76192565823439,1,-0.7610652211323371
6.54,1.79,415.85,4.7,357.86,83.297,-57.99000000000001,386.855,0.7186544342507646,278.0150611620795,0,31.006345565749225
77.74,2.71,361.77,16.93,509.88,67.25,148.11,435.825,0.21777720607152046,94.9127508361204,1,-1.2685522253666042
67.43,2.72,353.8,19.16,475.58,73.187,121.77999999999997,414.69,0.2841465223194424,117.83272134064956,0,4.3502832567106635
20.93,2.38,494.4,15.42,366.35,2.446,-128.04999999999995,430.375,0.736741519350215,317.0751313903488,1,-0.2762780697563306
18.64,0.82,475.4,24.13,524.72,0.0,49.32000000000005,500.06,1.2945278969957081,647.3416201716739,1,-90.69462446351932
18.76,3.42,454.4,10.62,534.17,0.0,79.76999999999998,494.28499999999997,0.566098081023454,279.81378997867796,1,-36.39161513859273
27.82,1.62,411.34,8.57,362.22,74.491,-49.11999999999995,386.78,0.3080517613227894,119.14826024442847,0,13.313997124370966
44.36,1.15,375.99,21.98,405.38,84.066,29.389999999999986,390.685,0.4954914337240758,193.58107078449055,0,19.480245716862036
37.4,0.64,373.47,7.14,511.24,73.076,137.76999999999998,442.355,0.19090909090909092,84.44959090909092,1,-2.3586818181818217
26.84,2.57,387.54,24.15,499.65,0.0,112.10999999999996,443.595,0.8997764530551415,399.13633569299554,1,-12.232460879284673
50.89,2.87,432.38,2.28,386.9,49.555,-45.48000000000002,409.64,0.04480251522892513,18.35290233837689,0,0.9121792100609163
15.46,0.56,457.19,24.31,391.87,43.583,-65.32,424.53,1.5724450194049158,667.5500840879688,0,8.601274256144933
26.91,2.29,449.03,2.99,424.09,73.877,-24.939999999999998,436.55999999999995,0.11111111111111112,48.50666666666666,1,-0.7288888888888829
32.48,1.29,391.99,22.5,446.9,28.733,54.90999999999997,419.445,0.6927339901477834,290.56380849753697,0,7.3118072660098585
39.21,2.76,493.23,14.14,473.65,0.0,-19.58000000000004,483.44,0.36062229023208364,174.33923998979853,1,-19.271655190002548
63.89,1.11,460.68,24.84,423.78,7.283,-36.900000000000034,442.23,0.38879323837846297,171.93603380810768,1,-4.754941305368609
19.98,2.92,433.15,3.7,442.51,86.422,9.360000000000014,437.83,0.1851851851851852,81.07962962962964,1,-1.4499999999999973
43.57,1.85,441.76,14.74,499.49,0.0,57.73000000000002,470.625,0.3383061739729171,159.21534312600411,1,-13.743688317649758
